"编号","题库","来源","中文提示","Romaji","平假名答案"
"1","Script 高频","W1 Script","蓝色；练读音","ao","あお"
"2","Script 高频","W1/W2 Script","上面","ue","うえ"
"3","Script 高频","W1 Script","爱；练读音","ai","あい"
"4","Script 高频","W1 Script","柿子／牡蛎；练读音","kaki","かき"
"5","Script 高频","W1 Script","苔藓","koke","こけ"
"6","Script 高频","W1/W2 Script","写","kaku","かく"
"7","Script 高频","W1 Script","车站","eki","えき"
"8","Script 高频","W1 Script","干劲；气势","kiai","きあい"
"9","Script 高频","W1 Script","寿司","sushi","すし"
"10","Script 高频","W1 Script","紫苏","shiso","しそ"
"11","Script 高频","W1 Script","指／刺；练读音","sasu","さす"
"12","Script 高频","W1 Script","世界","sekai","せかい"
"13","Script 高频","W1 Script","点心；零食","okashi","おかし"
"14","Script 高频","W1 Script","手","te","て"
"15","Script 高频","W1 Script","站立","tatsu","たつ"
"16","Script 高频","W1/W2 Script","土地","tochi","とち"
"17","Script 高频","W1 Script","帮助","tasuke","たすけ"
"18","Script 高频","W1 Script","知识","chishiki","ちしき"
"19","Script 高频","W1/W2 Script","停笔（笔画术语）","tome","とめ"
"20","Script 高频","W1/W2 Script","钩（笔画术语）","hane","はね"
"21","Script 高频","W1/W2 Script","扫／撇（笔画术语）","harai","はらい"
"22","Script 高频","W2 Script","恋爱／鲤鱼；练读音","koi","こい"
"23","Script 高频","W2 Script","山冈","oka","おか"
"24","Script 高频","W2 Script","池塘","ike","いけ"
"25","Script 高频","W2 Script","秋天","aki","あき"
"26","Script 高频","W2 Script","外面","soto","そと"
"27","Script 高频","W2 Script","单手","katate","かたて"
"28","Script 高频","W2 Script","季节","kisetsu","きせつ"
"29","Script 高频","W2/W3 Script","是；好的","hai","はい"
"30","Script 高频","W2/W3 Script","现在","ima","いま"
"31","Script 高频","W2/W3 Script","日本","nihon","にほん"
"32","Script 高频","W2/W3 Script","我","watashi","わたし"
"33","Script 高频","W2/W3 Script","名字","namae","なまえ"
"34","Script 高频","W2/W3 Script","历史","rekishi","れきし"
"35","Script 高频","W2 Script","日式被褥","futon","ふとん"
"36","Script 高频","W2 Script","和服","kimono","きもの"
"37","Script 高频","W2 Script","刺身","sashimi","さしみ"
"38","Script 高频","W2 Script","照烧","teriyaki","てりやき"
"39","Script 高频","W2/W3 Script","下午；PM","gogo","ごご"
"40","Script 高频","W2/W3 Script","工作","shigoto","しごと"
"41","Script 高频","W2/W3 Script","上午；AM","gozen","ごぜん"
"42","Script 高频","W2 Script","日语","nihongo","にほんご"
"43","Script 高频","W2 Script","两点／彩虹（同音）","niji","にじ"
"44","Script 高频","W2 Script","电话","denwa","でんわ"
"45","Script 高频","W2/W3 Script","大学","daigaku","だいがく"
"46","Script 高频","W2/W3 Script","朋友","tomodachi","ともだち"
"47","Script 高频","W2 Script","律师","bengoshi","べんごし"
"48","Script 高频","W2 Script","护士","kangoshi","かんごし"
"49","Script 高频","W3 Script","石材店／石匠；发音对比","ishiya","いしや"
"50","Script 高频","W3/W4 Script","医生","isha","いしゃ"
"51","Script 高频","W3 Script","主妇／家庭主理人","shufu","しゅふ"
"52","Script 高频","W3/W4 Script","图书馆","toshokan","としょかん"
"53","Script 高频","W3 Script","茶","ocha","おちゃ"
"54","Script 高频","W3/W4 Script","邮局","yuubinkyoku","ゆうびんきょく"
"55","Script 高频","W3 Script","一；发音对比","ichi","いち"
"56","Script 高频","W3 Script","一致；发音对比","icchi","いっち"
"57","Script 高频","W3 Script","声音","oto","おと"
"58","Script 高频","W3 Script","丈夫；发音对比","otto","おっと"
"59","Script 高频","W3 Script","八千","hassen","はっせん"
"60","Script 高频","W3/W4 Script","六百","roppyaku","ろっぴゃく"
"61","Script 高频","W3 Script","母亲（别人的／称呼）","okaasan","おかあさん"
"62","Script 高频","W3 Script","姐姐（别人的／称呼）","oneesan","おねえさん"
"63","Script 高频","W3/W4 Script","中国","chuugoku","ちゅうごく"
"64","Script 高频","W3/W4 Script","哥哥（别人的／称呼）","oniisan","おにいさん"
"65","Script 高频","W3 Script","好吃","oishii","おいしい"
"66","Script 高频","W3 Script","早上好","ohayoo","おはよう"
"67","Script 高频","W3 Script","大的","ookii","おおきい"
"68","Script 高频","W3 Script","政治","seeji","せいじ"
"69","Script 高频","W3 Script","英语","eego","えいご"
"70","Script 高频","W3 Script","高中","kookoo","こうこう"
"71","Script 高频","W3/W4 Script","老师","sensee","せんせい"
"72","Script 高频","W3/W4 Script","专业","senkoo","せんこう"
"73","Script 高频","W3 Script","学生","gakusee","がくせい"
"74","Script 高频","W3 Script","弟弟","otooto","おとうと"
"75","Script 高频","W3 Script","学校","gakkoo","がっこう"
"76","Script 高频","W3 Script","公司职员","kaishain","かいしゃいん"
"77","Script 高频","W3/W4 Script","留学生","ryuugakusee","りゅうがくせい"
"78","Script 高频","W3 Script","这里","koko","ここ"
"79","Script 高频","W3 Script","阿姨；中年女士","obasan","おばさん"
"80","Script 高频","W3 Script","祖母；老奶奶","obaasan","おばあさん"
"81","Script 高频","W3 Script","坡","saka","さか"
"82","Script 高频","W3 Script","作家","sakka","さっか"
